,song,artist
0,Last Night,Morgan Wallen
1,Flowers,Miley Cyrus
2,Fast Car,Luke Combs
3,Like Crazy (Deep House Remix),Jimin
4,Calm Down,Rema & Selena Gomez
5,Like Crazy (UK Garage Remix),Jimin
6,Anti-Hero,Taylor Swift
7,Like Crazy (Instrumental),Jimin
8,Heart Like A Truck,Lainey Wilson
9,You Say,Lauren Daigle
10,Eyes Closed,Ed Sheeran
11,Players,Coi Leray
12,Like Crazy (English Version),Jimin
13,Like Crazy,Jimin
14,Thinkin’ Bout Me,Morgan Wallen
15,Thought You Should Know,Morgan Wallen
16,Thank God,Kane Brown & Katelyn Brown
17,Thank God I Do,Lauren Daigle
18,Fighting Myself,LINKIN PARK
19,TRUSTFALL,P!nk
20,God's Country,Blake Shelton
21,Love You Anyway,Luke Combs
22,Growin' Up and Gettin' Old,Luke Combs
23,labour,Paris Paloma
24,Rock and a Hard Place,Bailey Zimmerman
25,5 Leaf Clover,Luke Combs
26,Rescue,Lauren Daigle
27,Wasted On You,Morgan Wallen
28,Favorite Song,Toosii
29,wait in the truck,HARDY & Lainey Wilson
30,Unstoppable,Sia
31,I Ain't Worried,OneRepublic
32,Kill Bill,SZA
33,Sounds Like Something I'd Do,Drake Milligan
34,VOID,Melanie Martinez
35,NEED A FAVOR,Jelly Roll
36,Life's Incredible Again,Michael Giacchino
37,All Of The Girls You Loved Before,Taylor Swift
38,Red Ruby Da Sleeze (Sped Up) [feat. Xxtristanxo & Speed Radio],"Nicki Minaj, Xxtristanxo & Speed Radio"
39,You Proof,Morgan Wallen
40,Something in the Orange (Z&E's Version),Zach Bryan
41,In Jesus Name (God Of Possible),Katy Nichole
42,Tennessee Whiskey,Chris Stapleton
43,Chasin' You,Morgan Wallen
44,As It Was,Harry Styles
45,Justice for All,Donald J. Trump & J6 Prison Choir
46,Sure Thing,Miguel
47,One Thing At A Time,Morgan Wallen
48,Rainbowland (feat. Dolly Parton),Miley Cyrus
49,Made You Look,Meghan Trainor
50,Gratitude,Brandon Lake
51,You Raise Me Up,Josh Groban
52,I'm Good (Blue),David Guetta & Bebe Rexha
53,This Is Our God,Phil Wickham
54,Son Of A Sinner,Jelly Roll
55,"Set Me Free, Pt. 2",Jimin
56,Hold My Hand,Lady Gaga
57,Eyes Closed,Ed Sheeran
58,Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),Rihanna
59,Here Without You,3 Doors Down
60,Lost,LINKIN PARK
61,Everywhere,Fleetwood Mac
62,Look At Us Now (Honeycomb),Daisy Jones & The Six
63,Handle On You,Parker McCollum
64,Die For You (Remix),The Weeknd & Ariana Grande
65,Mother,Meghan Trainor
66,"Forever and Ever, Amen",Randy Travis
67,golden hour,JVKE
68,Escapism.,RAYE & 070 Shake
69,Unholy,Sam Smith & Kim Petras
70,"Boy's a liar, Pt. 2",PinkPantheress & Ice Spice
71,Dancin’ In The Country,Tyler Hubbard
72,NASTY,Russ
73,BESO,ROSALÍA & Rauw Alejandro
74,More Than Able (feat. Chandler Moore & Tiffany Hudson),Elevation Worship
75,ICU,Coco Jones
76,Face-off,Jimin
77,TQG,KAROL G & Shakira
78,I Wrote The Book,Morgan Wallen
79,Bloody Mary,Lady Gaga
80,10:35,Tiësto & Tate McRae
81,End of the World,Tom MacDonald & John Rich
82,Heaven,Niall Horan
83,Hold On To Me,Lauren Daigle
84,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
85,Cowgirls (feat. ERNEST),Morgan Wallen
86,Out of My Head,Fastball
87,Raid,BAD OPTIX
88,"Going, Going, Gone",Luke Combs
89,Lavender Haze,Taylor Swift
90,Just Pretend,Bad Omens
91,Just Give Me a Reason (feat. Nate Ruess),P!nk
92,Alone,Jimin
93,Tennessee Orange,Megan Moroney
94,God Is In This Story,Katy Nichole & Big Daddy Weave
95,What He Didn't Do,Carly Pearce
96,Snooze,SZA
97,Life’s Incredible Again,Gasteiz Big Band
98,Shivers,Ed Sheeran
99,Bonjour,Zoey Dollaz
